"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","975","GET API - Fetch a User with Query Params","chromium","2026-02-27","failed","2026-02-27","Api Test Suite","apis/api.test.ts","",""
"This test is to validate the functionality of removing a product from the cart","20354","Remove a Product from the cart","chromium","2026-02-27","broken","2026-02-27","Cart Test Suite","web/saucelab-cart.test.ts","",""
"This test is to validate the functionality of adding a product to the cart","20363","Add a Product to the cart","chromium","2026-02-27","broken","2026-02-27","Cart Test Suite","web/saucelab-cart.test.ts","",""
"","20365","Valid buy functionality","chromium","2026-02-27","broken","2026-02-27","Sauce Lab testing","web/saucelab-purchase.test.ts","",""
"This test is to validate the login functionality with valid credentials","3948","Valid Login Testcases - Standard User","chromium","2026-02-27","passed","2026-02-27","Sauce Lab Login Feature","web/saucelab-login.test.ts","",""
"","1267","Delete API - Delete a User","chromium","2026-02-27","failed","2026-02-27","Api Test Suite","apis/api.test.ts","",""
"This test is to validate the login functionality with invalid credentials","6115","Invalid Login Testcases - Locked User","chromium","2026-02-27","passed","2026-02-27","Sauce Lab Login Feature","web/saucelab-login.test.ts","",""
"","1821","PUT API - Update a User","chromium","2026-02-27","failed","2026-02-27","Api Test Suite","apis/api.test.ts","",""
"This test is to validate the functionality of displaying the product list","3969","Verify Product List","chromium","2026-02-27","passed","2026-02-27","Products Page Test Suite","web/saucelab-product.test.ts","",""
"","1831","POST API - Create a User","chromium","2026-02-27","failed","2026-02-27","Api Test Suite","apis/api.test.ts","",""
